,precision,recall,f1-score,support
"
",0.0,0.0,0.0,0.0
"

",0.0,0.0,0.0,0.0
04907,0.0,0.0,0.0,0.0
0492x743,0.0,0.0,0.0,0.0
04932,0.0,0.0,0.0,0.0
0495,0.0,0.0,0.0,0.0
04983,0.0,0.0,0.0,0.0
05,0.0,0.0,0.0,0.0
050,0.0,0.0,0.0,0.0
0500x114,0.0,0.0,0.0,0.0
0502,0.0,0.0,0.0,0.0
05023,0.0,0.0,0.0,0.0
05030,0.0,0.0,0.0,0.0
0503x633,0.0,0.0,0.0,0.0
0504x95657,0.0,0.0,0.0,0.0
05057,0.0,0.0,0.0,0.0
0506,0.0,0.0,0.0,0.0
05063,0.0,0.0,0.0,0.0
0508x499,0.0,0.0,0.0,0.0
051,0.0,0.0,0.0,0.0
0510,0.0,0.0,0.0,0.0
0513,0.0,0.0,0.0,0.0
0515,0.0,0.0,0.0,0.0
0516,0.0,0.0,0.0,0.0
0517,0.0,0.0,0.0,0.0
0518,0.0,0.0,0.0,0.0
05180,0.0,0.0,0.0,0.0
052,0.0,0.0,0.0,0.0
0520x6037,0.0,0.0,0.0,0.0
053,0.0,0.0,0.0,0.0
05307,0.0,0.0,0.0,0.0
05310,0.0,0.0,0.0,0.0
0533,0.0,0.0,0.0,0.0
05368,0.0,0.0,0.0,0.0
053756490,0.0,0.0,0.0,0.0
05382,0.0,0.0,0.0,0.0
053853148,0.0,0.0,0.0,0.0
054,0.0,0.0,0.0,0.0
0541,0.0,0.0,0.0,0.0
0542,0.0,0.0,0.0,0.0
05434,0.0,0.0,0.0,0.0
0547,0.0,0.0,0.0,0.0
05471,0.0,0.0,0.0,0.0
055,0.0,0.0,0.0,0.0
05502,0.0,0.0,0.0,0.0
05533,0.0,0.0,0.0,0.0
0559,0.0,0.0,0.0,0.0
056,0.0,0.0,0.0,0.0
05607,0.0,0.0,0.0,0.0
05619,0.0,0.0,0.0,0.0
0563x7380,0.0,0.0,0.0,0.0
0564x62042,0.0,0.0,0.0,0.0
057,0.0,0.0,0.0,0.0
0570x3957,0.0,0.0,0.0,0.0
0572,0.0,0.0,0.0,0.0
0572x348,0.0,0.0,0.0,0.0
0574,0.0,0.0,0.0,0.0
0574x12951,0.0,0.0,0.0,0.0
058,0.0,0.0,0.0,0.0
05806,0.0,0.0,0.0,0.0
0581x778,0.0,0.0,0.0,0.0
0582,0.0,0.0,0.0,0.0
05822,0.0,0.0,0.0,0.0
0583,0.0,0.0,0.0,0.0
0584,0.0,0.0,0.0,0.0
0585,0.0,0.0,0.0,0.0
05857,0.0,0.0,0.0,0.0
0588x343,0.0,0.0,0.0,0.0
059,0.0,0.0,0.0,0.0
0590x205,0.0,0.0,0.0,0.0
0593,0.0,0.0,0.0,0.0
0593x68988,0.0,0.0,0.0,0.0
0595x9384,0.0,0.0,0.0,0.0
0596,0.0,0.0,0.0,0.0
05982,0.0,0.0,0.0,0.0
05993,0.0,0.0,0.0,0.0
05A,0.0,0.0,0.0,0.0
05O,0.0,0.0,0.0,0.0
06,0.0,0.0,0.0,0.0
060,0.0,0.0,0.0,0.0
0604,0.0,0.0,0.0,0.0
06043,0.0,0.0,0.0,0.0
06057,0.0,0.0,0.0,0.0
0605x5010,0.0,0.0,0.0,0.0
0606,0.0,0.0,0.0,0.0
06065,0.0,0.0,0.0,0.0
06096,0.0,0.0,0.0,0.0
061,0.0,0.0,0.0,0.0
0610,0.0,0.0,0.0,0.0
06134,0.0,0.0,0.0,0.0
0614,0.0,0.0,0.0,0.0
06147,0.0,0.0,0.0,0.0
06180,0.0,0.0,0.0,0.0
0618x6240,0.0,0.0,0.0,0.0
0619,0.0,0.0,0.0,0.0
0619x4754,0.0,0.0,0.0,0.0
062,0.0,0.0,0.0,0.0
06217,0.0,0.0,0.0,0.0
0622x33558,0.0,0.0,0.0,0.0
0623,0.0,0.0,0.0,0.0
06236,0.0,0.0,0.0,0.0
06277,0.0,0.0,0.0,0.0
0627x60080,0.0,0.0,0.0,0.0
063,0.0,0.0,0.0,0.0
0630,0.0,0.0,0.0,0.0
06337,0.0,0.0,0.0,0.0
0633x83028,0.0,0.0,0.0,0.0
06350,0.0,0.0,0.0,0.0
0636,0.0,0.0,0.0,0.0
06361,0.0,0.0,0.0,0.0
0637,0.0,0.0,0.0,0.0
0637x063,0.0,0.0,0.0,0.0
064,0.0,0.0,0.0,0.0
06409,0.0,0.0,0.0,0.0
0641,0.0,0.0,0.0,0.0
0643,0.0,0.0,0.0,0.0
06440,0.0,0.0,0.0,0.0
0645,0.0,0.0,0.0,0.0
06456,0.0,0.0,0.0,0.0
06464,0.0,0.0,0.0,0.0
0648,0.0,0.0,0.0,0.0
06483,0.0,0.0,0.0,0.0
0648x5395,0.0,0.0,0.0,0.0
0649x48370,0.0,0.0,0.0,0.0
065,0.0,0.0,0.0,0.0
0652,0.0,0.0,0.0,0.0
06533,0.0,0.0,0.0,0.0
0657,0.0,0.0,0.0,0.0
066,0.0,0.0,0.0,0.0
06604,0.0,0.0,0.0,0.0
06629,0.0,0.0,0.0,0.0
0663,0.0,0.0,0.0,0.0
0663x83832,0.0,0.0,0.0,0.0
06643,0.0,0.0,0.0,0.0
06646,0.0,0.0,0.0,0.0
0667,0.0,0.0,0.0,0.0
0668,0.0,0.0,0.0,0.0
0668x9102,0.0,0.0,0.0,0.0
06699,0.0,0.0,0.0,0.0
067,0.0,0.0,0.0,0.0
0671,0.0,0.0,0.0,0.0
0672,0.0,0.0,0.0,0.0
06752,0.0,0.0,0.0,0.0
06772,0.0,0.0,0.0,0.0
0678x7269,0.0,0.0,0.0,0.0
068,0.0,0.0,0.0,0.0
06806,0.0,0.0,0.0,0.0
0682,0.0,0.0,0.0,0.0
0683,0.0,0.0,0.0,0.0
06864,0.0,0.0,0.0,0.0
068769270,0.0,0.0,0.0,0.0
0688,0.0,0.0,0.0,0.0
06886,0.0,0.0,0.0,0.0
0688x769,0.0,0.0,0.0,0.0
0688x809,0.0,0.0,0.0,0.0
06895,0.0,0.0,0.0,0.0
069,0.0,0.0,0.0,0.0
0691,0.0,0.0,0.0,0.0
06928,0.0,0.0,0.0,0.0
0696,0.0,0.0,0.0,0.0
0699x63290,0.0,0.0,0.0,0.0
07,0.0,0.0,0.0,0.0
070,0.0,0.0,0.0,0.0
070385046,0.0,0.0,0.0,0.0
0705x6581,0.0,0.0,0.0,0.0
0707x2065,0.0,0.0,0.0,0.0
0708,0.0,0.0,0.0,0.0
0708x19101,0.0,0.0,0.0,0.0
071,0.0,0.0,0.0,0.0
0713,0.0,0.0,0.0,0.0
07145,0.0,0.0,0.0,0.0
0717,0.0,0.0,0.0,0.0
0718,0.0,0.0,0.0,0.0
072,0.0,0.0,0.0,0.0
0724,0.0,0.0,0.0,0.0
07248,0.0,0.0,0.0,0.0
0725x07493,0.0,0.0,0.0,0.0
0727,0.0,0.0,0.0,0.0
07293,0.0,0.0,0.0,0.0
073,0.0,0.0,0.0,0.0
0732x641,0.0,0.0,0.0,0.0
07371,0.0,0.0,0.0,0.0
0739x657,0.0,0.0,0.0,0.0
07409,0.0,0.0,0.0,0.0
07436,0.0,0.0,0.0,0.0
07450,0.0,0.0,0.0,0.0
0746,0.0,0.0,0.0,0.0
07496,0.0,0.0,0.0,0.0
075,0.0,0.0,0.0,0.0
075009335,0.0,0.0,0.0,0.0
0754,0.0,0.0,0.0,0.0
0756x490,0.0,0.0,0.0,0.0
07572,0.0,0.0,0.0,0.0
07594,0.0,0.0,0.0,0.0
076,0.0,0.0,0.0,0.0
0761,0.0,0.0,0.0,0.0
0762,0.0,0.0,0.0,0.0
0763,0.0,0.0,0.0,0.0
07654,0.0,0.0,0.0,0.0
077,0.0,0.0,0.0,0.0
0770x797,0.0,0.0,0.0,0.0
07719,0.0,0.0,0.0,0.0
0771x313,0.0,0.0,0.0,0.0
07737,0.0,0.0,0.0,0.0
07757,0.0,0.0,0.0,0.0
0778,0.0,0.0,0.0,0.0
078,0.0,0.0,0.0,0.0
0780,0.0,0.0,0.0,0.0
07805,0.0,0.0,0.0,0.0
0781x213,0.0,0.0,0.0,0.0
0783,0.0,0.0,0.0,0.0
07846,0.0,0.0,0.0,0.0
0788x92942,0.0,0.0,0.0,0.0
079,0.0,0.0,0.0,0.0
07901,0.0,0.0,0.0,0.0
07931,0.0,0.0,0.0,0.0
0794x48375,0.0,0.0,0.0,0.0
07965,0.0,0.0,0.0,0.0
07969,0.0,0.0,0.0,0.0
07976,0.0,0.0,0.0,0.0
0797x5365,0.0,0.0,0.0,0.0
0798,0.0,0.0,0.0,0.0
07Q,0.0,0.0,0.0,0.0
08,0.0,0.0,0.0,0.0
080,0.0,0.0,0.0,0.0
